,date,geography_name,market,population,submarket,cap_rate,price,equity,debt,mo_rent,occupancy,revenue,debt_service,pay_off,valuation,cashflow,irr
5,2029-12-31,Albany - NY USA - Outer Albany County,Albany - NY,900119.0,Outer Albany County,0.0597841776907444,336912.9532,0.0,0.0,2336.69970703125,0.962335288524628,14571.502042213431,10429.034385791998,148139.69298,336912.9532,192915.72787642144,0.16661428878374784
0,2024-12-31,Albany - NY USA - Outer Rensselaer County,Albany - NY,900119.0,Outer Rensselaer County,0.0765265598893166,197339.9754,78935.99016,118403.98524,1445.25573730469,0.995963931083679,0.0,0.0,0.0,0.0,-78935.99016,
1,2025-12-31,Albany - NY USA - Outer Rensselaer County,Albany - NY,900119.0,Outer Rensselaer County,0.0773265585303307,205335.0213,0.0,0.0,1516.47546386719,0.996636390686035,9793.707621013975,8335.640560895998,0.0,0.0,1458.0670601179772,
2,2026-12-31,Albany - NY USA - Outer Rensselaer County,Albany - NY,900119.0,Outer Rensselaer County,0.0742265582084656,223574.0613,0.0,0.0,1579.84594726563,0.967137336730957,9900.973452206228,8335.640560895998,0.0,0.0,1565.3328913102305,
3,2027-12-31,Albany - NY USA - Outer Rensselaer County,Albany - NY,900119.0,Outer Rensselaer County,0.0705265551805496,244122.9445,0.0,0.0,1635.265625,0.941693782806396,9978.678180500861,8335.640560895998,0.0,0.0,1643.0376196048637,
4,2028-12-31,Albany - NY USA - Outer Rensselaer County,Albany - NY,900119.0,Outer Rensselaer County,0.0667265579104424,266328.548,0.0,0.0,1686.19995117188,0.936313390731812,10230.69912739346,8335.640560895998,0.0,0.0,1895.0585664974624,
5,2029-12-31,Albany - NY USA - Outer Rensselaer County,Albany - NY,900119.0,Outer Rensselaer County,0.0647265538573265,282902.1629,0.0,0.0,1736.29504394531,0.939166724681854,10566.745031182374,8335.640560895998,118403.98524,282902.1629,166729.2821302864,0.1746579782898503
0,2024-12-31,Albany - NY USA - Outer Saratoga County,Albany - NY,900119.0,Outer Saratoga County,0.0730317234992981,200427.6299,80171.05196000001,120256.57793999999,1670.56726074219,0.981566369533539,0.0,0.0,0.0,0.0,-80171.05196000001,
1,2025-12-31,Albany - NY USA - Outer Saratoga County,Albany - NY,900119.0,Outer Saratoga County,0.0738317295908928,207240.3524,0.0,0.0,1742.86547851563,0.980563700199127,11074.2592342057,8466.063086975999,0.0,0.0,2608.1961472297007,
2,2026-12-31,Albany - NY USA - Outer Saratoga County,Albany - NY,900119.0,Outer Saratoga County,0.0707317292690277,224816.9501,0.0,0.0,1805.79443359375,0.972819268703461,11383.491299657093,8466.063086975999,0.0,0.0,2917.428212681094,
3,2027-12-31,Albany - NY USA - Outer Saratoga County,Albany - NY,900119.0,Outer Saratoga County,0.0670317262411118,244787.1506,0.0,0.0,1859.41748046875,0.965692222118378,11635.649990666358,8466.063086975999,0.0,0.0,3169.5869036903587,
4,2028-12-31,Albany - NY USA - Outer Saratoga County,Albany - NY,900119.0,Outer Saratoga County,0.0632317289710045,266452.6578,0.0,0.0,1907.73474121094,0.961786806583405,11889.724997532525,8466.063086975999,0.0,0.0,3423.661910556526,
5,2029-12-31,Albany - NY USA - Outer Saratoga County,Albany - NY,900119.0,Outer Saratoga County,0.0612317249178886,282161.4425,0.0,0.0,1955.31469726563,0.959460556507111,12156.786682750895,8466.063086975999,120256.57793999999,282161.4425,165595.58815577492,0.18066013439599926
0,2024-12-31,Albany - NY USA - Outer Schenectady County,Albany - NY,900119.0,Outer Schenectady County,0.0733149722218513,208025.7673,83210.30692,124815.46038,1499.19787597656,0.945279657840729,0.0,0.0,0.0,0.0,-83210.30692,
1,2025-12-31,Albany - NY USA - Outer Schenectady County,Albany - NY,900119.0,Outer Schenectady County,0.0741149708628654,213457.2767,0.0,0.0,1551.77001953125,0.943765223026276,9490.002629123226,8787.008410752,0.0,0.0,702.9942183712265,
2,2026-12-31,Albany - NY USA - Outer Schenectady County,Albany - NY,900119.0,Outer Schenectady County,0.0710149705410004,229671.6923,0.0,0.0,1594.79675292969,0.936840236186981,9681.57208811803,8787.008410752,0.0,0.0,894.5636773660299,
3,2027-12-31,Albany - NY USA - Outer Schenectady County,Albany - NY,900119.0,Outer Schenectady County,0.067314974963665,247952.8403,0.0,0.0,1628.51867675781,0.931697964668274,9832.023236905707,8787.008410752,0.0,0.0,1045.014826153707,
4,2028-12-31,Albany - NY USA - Outer Schenectady County,Albany - NY,900119.0,Outer Schenectady County,0.0635149702429771,267557.2566,0.0,0.0,1656.74865722656,0.929287075996399,9976.576347370998,8787.008410752,0.0,0.0,1189.567936618998,
5,2029-12-31,Albany - NY USA - Outer Schenectady County,Albany - NY,900119.0,Outer Schenectady County,0.0615149736404419,280889.7813,0.0,0.0,1683.57751464844,0.929336071014404,10138.668346371016,8787.008410752,124815.46038,280889.7813,157425.98085561898,0.1435047789731485
0,2024-12-31,Albany - NY USA - Rensselaer,Albany - NY,900119.0,Rensselaer,0.066200003027916,199280.1562,79712.06248000001,119568.09371999999,1884.97766113281,0.996208906173706,0.0,0.0,0.0,0.0,-79712.06248000001,
1,2025-12-31,Albany - NY USA - Rensselaer,Albany - NY,900119.0,Rensselaer,0.0670000016689301,206038.5267,0.0,0.0,1968.39282226563,0.994162499904633,12680.727091777017,8417.593797887997,0.0,0.0,4263.133293889019,
2,2026-12-31,Albany - NY USA - Rensselaer,Albany - NY,900119.0,Rensselaer,0.063900001347065,224675.3571,0.0,0.0,2040.95532226563,0.991415202617645,13111.853190636863,8417.593797887997,0.0,0.0,4694.259392748865,
3,2027-12-31,Albany - NY USA - Rensselaer,Albany - NY,900119.0,Rensselaer,0.060199998319149,246245.8928,0.0,0.0,2103.11157226563,0.989657759666443,13487.21725135159,8417.593797887997,0.0,0.0,5069.623453463593,
4,2028-12-31,Albany - NY USA - Rensselaer,Albany - NY,900119.0,Rensselaer,0.0564000010490417,270073.9285,0.0,0.0,2159.58935546875,0.988115072250366,13827.819692225612,8417.593797887997,0.0,0.0,5410.225894337615,
5,2029-12-31,Albany - NY USA - Rensselaer,Albany - NY,900119.0,Rensselaer,0.0544000007212162,287337.8571,0.0,0.0,2215.14282226563,0.986647605895996,14162.463547743422,8417.593797887997,119568.09371999999,287337.8571,173514.63312985544,0.20768172080157576
0,2024-12-31,Albany - NY USA - Saratoga Springs,Albany - NY,900119.0,Saratoga Springs,0.0710751861333847,329154.5691,131661.82764,197492.74146000002,2399.0380859375,0.987091898918152,0.0,0.0,0.0,0.0,-131661.82764,
1,2025-12-31,Albany - NY USA - Saratoga Springs,Albany - NY,900119.0,Saratoga Springs,0.0718751847743988,337961.0452,0.0,0.0,2486.85034179688,0.987421751022339,15912.094371298703,13903.488998784,0.0,0.0,2008.605372514703,
2,2026-12-31,Albany - NY USA - Saratoga Springs,Albany - NY,900119.0,Saratoga Springs,0.0687751844525337,364533.1239,0.0,0.0,2559.82958984375,0.978337049484253,16228.357310154226,13903.488998784,0.0,0.0,2324.8683113702264,
3,2027-12-31,Albany - NY USA - Saratoga Springs,Albany - NY,900119.0,Saratoga Springs,0.0650751814246178,394715.4303,0.0,0.0,2618.19091796875,0.970292568206787,16461.86451023826,13903.488998784,0.0,0.0,2558.375511454262,
4,2028-12-31,Albany - NY USA - Saratoga Springs,Albany - NY,900119.0,Saratoga Springs,0.0612751841545105,427317.8678,0.0,0.0,2667.9765625,0.96767520904541,16729.641360438465,13903.488998784,0.0,0.0,2826.1523616544655,
5,2029-12-31,Albany - NY USA - Saratoga Springs,Albany - NY,900119.0,Saratoga Springs,0.059275183826685,449681.928,0.0,0.0,2715.71508789063,0.966757416725159,17012.83631499083,13903.488998784,197492.74146000002,449681.928,255298.53385620684,0.1536879342670201
0,2024-12-31,Albany - NY USA - Schenectady,Albany - NY,900119.0,Schenectady,0.0729975625872612,370799.3016,148319.72064,222479.58096,1757.08947753906,0.996594727039337,0.0,0.0,0.0,0.0,-148319.72064,
1,2025-12-31,Albany - NY USA - Schenectady,Albany - NY,900119.0,Schenectady,0.0737975612282753,381167.2004,0.0,0.0,1822.40649414063,0.997619092464447,11781.077482852566,15662.562499583997,0.0,0.0,-3881.4850167314307,
2,2026-12-31,Albany - NY USA - Schenectady,Albany - NY,900119.0,Schenectady,0.0706975609064102,410982.7443,0.0,0.0,1876.79272460938,0.994448781013489,12094.105057074032,15662.562499583997,0.0,0.0,-3568.4574425099654,
